,ik,ik_face_03,ik_face_05,ik_face_07
all,0.08294890320228362,0.08169856481090476,0.08167763387595807,0.0796508142583119
person,0.08066149009476968,0.08027561855285766,0.08083330747630678,0.07835064970704557
no person,0.1157070805500217,0.10962466411187158,0.10445622986076479,0.10088149904878956
animal,0.07377271322078094,0.07100387022443135,0.07036119401116549,0.06698390185975085
sports,0.08341913768545742,0.08358433183471009,0.08551236954832432,0.08434880339042998
electronic,0.07676323409953571,0.0773245721341692,0.07838533828444959,0.07536986522194802
