,aim,aim_face_03,aim_face_05,aim_face_07
all,0.30403199818348375,0.3891268120435278,0.5228742012913996,0.676976701080101
person,0.30416187883313167,0.3862489259426099,0.51840396744953,0.6714814367568024
no person,0.2511585658272473,0.31965971756921485,0.40354782586217514,0.4982517158778388
animal,0.2586913824655457,0.3220515443696189,0.4359798501344314,0.5684666999014936
sports,0.2980599344276944,0.4071938248611891,0.5491851786542766,0.715108566168087
electronic,0.31468733240353947,0.38755680444869123,0.503805072398373,0.6551832973322075
