,0.0,0.3,0.5,0.7
aim,0.0,0.0,0.0,0.0
cas,4.200843612371826,4.273592687221029,4.306950851135036,4.291006463403504
covsal,3.474158886827675,3.521216703541059,2.899932903562972,1.8902980371294664
gbvs,4.489571832769536,4.545938527737831,4.577486299481319,4.571559780932732
icf,4.259302281254131,4.263750133508496,4.224836464298556,3.9371118561080056
ik,3.9026215674765425,3.74219367470403,3.652226965293105,3.448696259544518
sun,3.8688686025903354,4.004752797993194,4.044462680986611,4.011032568165728
