,aim,aim_face_03,aim_face_05,aim_face_07
all,0.0,0.0,0.0,0.0
person,0.0,0.0,0.0,0.0
no person,0.0,0.0,0.0,0.0
animal,0.0,0.0,0.0,0.0
sports,0.0,0.0,0.0,0.0
electronic,0.0,0.0,0.0,0.0
