,ik,ik_face_03,ik_face_05,ik_face_07
all,0.38709245633053696,0.4254947496002358,0.46482640268625647,0.5116311133150845
person,0.3848287732838649,0.4241417146670716,0.4646516963504016,0.5132315158173927
no person,0.456804654645398,0.4676045102752437,0.47026369171031057,0.4618226680901861
animal,0.3692257836354068,0.3992120351181991,0.43283446670598463,0.4756258794170143
sports,0.3935321871340619,0.4243623336439767,0.45991059231129067,0.505847486399057
electronic,0.38709099065275626,0.4249348159511564,0.4638839301250976,0.5089513161579269
