,all,person,no person,animal,sports,electronic
aim,0.0,0.0,0.0,0.0,0.0,0.0
cas,0.08250162368808364,0.08072295905564275,0.1250346135404264,0.07677309806707441,0.07960337847511396,0.07556879134931893
covsal,0.09512649710867999,0.0929053418155211,0.11234158357415316,0.09903089827659194,0.1005677371122972,0.09432707735705456
gbvs,0.0817770086220696,0.08029444563671445,0.11695551099970022,0.07095378717494838,0.08331506514585399,0.07650594901020151
icf,0.08521321068676455,0.08361741342992067,0.12190500471026967,0.07452335456351795,0.08836470965212223,0.07898703290597801
ik,0.0796508142583119,0.07835064970704557,0.10088149904878957,0.06698390185975085,0.08434880339042998,0.07536986522194802
sun,0.08685038475573968,0.08628632304520845,0.10287079462286204,0.07478189497200204,0.09903319780300723,0.0752511477212903
