,all,person,no person,animal,sports,electronic
aim,0.0,0.0,0.0,0.0,0.0,0.0
cas,0.08643803029088319,0.08326724737643035,0.13425440993291365,0.0794024708433713,0.0822895349103995,0.07622811539715864
covsal,0.10266410079849618,0.1018106590608165,0.12637577400086974,0.10596773996032932,0.11023658129313654,0.10354130528228887
gbvs,0.08933909036721753,0.0862884733061929,0.12902492228455667,0.07569268101983058,0.08769802701455595,0.07981375005357731
icf,0.09570422657378436,0.09407467350679917,0.1315421080891835,0.08598160556318754,0.0987983915655426,0.0895353940775547
ik,0.08169856481090476,0.08027561855285767,0.10962466411187158,0.07100387022443135,0.08358433183471009,0.0773245721341692
sun,0.08701017654180263,0.08410630051674227,0.12008758167424508,0.07628652435421909,0.09040339307511742,0.07401461111793897
