,all,person,no person,animal,sports,electronic
aim,0.0,0.0,0.0,0.0,0.0,0.0
cas,0.09728320845773564,0.09565787983914728,0.10595686265685683,0.08405132775519608,0.09327071538824153,0.09626535287105102
covsal,0.08229939747371331,0.08101980499378977,0.08868419681264915,0.08209650857757322,0.08138669628747769,0.0822268186609763
gbvs,0.08552727740735495,0.08446676755756692,0.08864117156274615,0.08215753127380082,0.08818349128815889,0.08480277436448143
icf,0.0953244644397412,0.09371018909644252,0.11243039390831816,0.095475684056163,0.08682370214809275,0.0947336268281462
ik,0.09778966042656252,0.09669049819273563,0.09150768240243178,0.08939068631816395,0.10053102790807047,0.09507837194845796
sun,0.09433320385819156,0.09336585211973064,0.09047763958469457,0.08914419170204099,0.10398529983058848,0.09232858220138793
