,all,person,no person,animal,sports,electronic
aim,0.3040319981834837,0.3041618788331317,0.2511585658272473,0.2586913824655457,0.2980599344276944,0.3146873324035395
cas,0.44670163842143495,0.4461723138684591,0.4105311105830053,0.3867849137627746,0.48478398277578794,0.4420847130823487
covsal,0.5940082853055632,0.5941266360304278,0.5058792983912442,0.5493865388327503,0.5146546278025603,0.6215149061081219
gbvs,0.4192135553780309,0.4190118390736831,0.35476677961749137,0.4012017207100888,0.4146621019657092,0.43675824936088703
icf,0.561043716576745,0.5595297648060015,0.4820782821068429,0.5501983128252591,0.5697015720166194,0.5519098926867215
ik,0.4224928865927031,0.4238935025610081,0.31729350906922044,0.4281962121268287,0.4010105187425268,0.4488010972217867
sun,0.3673734271434455,0.3687645789970445,0.303494091543933,0.3613356752884981,0.3720539991447213,0.35832046198338313
dg,0.8278465008589556,0.827540563666998,0.6838433034273957,0.7178373717930956,0.9291101099811118,0.7739988583789471
